Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",18.3
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",19.3
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",20.6
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",20.2
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",19.6
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",19.2
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",18.9
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",18.6
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",18.5
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Bac Ninh,,under 5 years old,,"Per 1,000 live births",18.2
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",23.8
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",24.0
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",23.8
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",23.0
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",22.7
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",22.3
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",21.9
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",21.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Quang Ninh,,under 5 years old,,"Per 1,000 live births",21.4
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",18.3
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",18.5
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",18.5
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",17.8
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",17.5
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",17.2
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",17.0
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",16.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Duong,,under 5 years old,,"Per 1,000 live births",16.5
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",17.2
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",19.1
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",18.9
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",18.3
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",18.0
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",17.6
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",17.4
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",17.3
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hai Phong,,under 5 years old,,"Per 1,000 live births",17.0
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",19.3
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",19.5
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",19.3
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",18.6
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",18.3
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",18.0
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",17.7
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",17.6
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Hung Yen,,under 5 years old,,"Per 1,000 live births",17.3
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",17.2
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",16.4
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",16.1
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",15.6
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",15.3
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",15.1
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",14.8
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",14.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Thai Binh,,under 5 years old,,"Per 1,000 live births",14.5
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",23.6
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",18.9
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",18.9
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",18.3
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",18.0
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",17.7
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",17.4
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",17.3
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Nam,,under 5 years old,,"Per 1,000 live births",17.0
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",19.8
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",20.1
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",19.8
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",19.1
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",18.8
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",18.5
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",18.2
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",18.1
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Nam Dinh,,under 5 years old,,"Per 1,000 live births",17.7
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ninh Binh,,under 5 years old,,"Per 1,000 live births",23.1
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ninh Binh,,under 5 years old,,"Per 1,000 live births",22.7
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ninh Binh,,under 5 years old,,"Per 1,000 live births",22.6
