Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Duong,,Percent,3.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Duong,,Percent,3.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Duong,,Percent,2.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Duong,,Percent,2.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Phong,,Percent,2.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Phong,,Percent,1.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Phong,,Percent,1.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hai Phong,,Percent,1.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hung Yen,,Percent,4.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hung Yen,,Percent,3.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hung Yen,,Percent,2.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hung Yen,,Percent,2.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai Binh,,Percent,4.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai Binh,,Percent,4.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai Binh,,Percent,2.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai Binh,,Percent,2.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Nam,,Percent,4.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Nam,,Percent,4.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Nam,,Percent,2.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Nam,,Percent,2.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nam Dinh,,Percent,4.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nam Dinh,,Percent,3.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nam Dinh,,Percent,2.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nam Dinh,,Percent,2.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh Binh,,Percent,4.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh Binh,,Percent,3.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh Binh,,Percent,2.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh Binh,,Percent,2.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Giang,,Percent,39.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Giang,,Percent,36.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Giang,,Percent,32.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Giang,,Percent,29.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Cao Bang,,Percent,37.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Cao Bang,,Percent,34.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Cao Bang,,Percent,31.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Cao Bang,,Percent,28.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Kan,,Percent,29.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Kan,,Percent,27.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Kan,,Percent,25.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Kan,,Percent,22.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tuyen Quang,,Percent,22.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tuyen Quang,,Percent,19.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tuyen Quang,,Percent,17.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tuyen Quang,,Percent,15.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lao Cai,,Percent,26.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lao Cai,,Percent,23.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lao Cai,,Percent,20.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lao Cai,,Percent,17.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Yen Bai,,Percent,26.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Yen Bai,,Percent,23.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Yen Bai,,Percent,20.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Yen Bai,,Percent,17.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai  Nguyen,,Percent,7.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai  Nguyen,,Percent,7.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai  Nguyen,,Percent,6.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thai  Nguyen,,Percent,5.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lang Son,,Percent,23.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lang Son,,Percent,20.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lang Son,,Percent,18.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lang Son,,Percent,15.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Giang,,Percent,6.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Giang,,Percent,5.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Giang,,Percent,3.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Giang,,Percent,3.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Tho,,Percent,10.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Tho,,Percent,9.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Tho,,Percent,7.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Tho,,Percent,6.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dien Bien,,Percent,53.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dien Bien,,Percent,50.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dien Bien,,Percent,44.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dien Bien,,Percent,39.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lai Chau,,Percent,44.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lai Chau,,Percent,41.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lai Chau,,Percent,37.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lai Chau,,Percent,33.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Son La,,Percent,42.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Son La,,Percent,41.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Son La,,Percent,36.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Son La,,Percent,33.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hoa Binh,,Percent,17.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hoa Binh,,Percent,15.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hoa Binh,,Percent,12.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Hoa Binh,,Percent,10.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thanh Hoa,,Percent,11.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thanh Hoa,,Percent,10.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thanh Hoa,,Percent,8.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thanh Hoa,,Percent,8.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nghe An,,Percent,17.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nghe An,,Percent,16.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nghe An,,Percent,13.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Nghe An,,Percent,12.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Tinh,,Percent,12.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Tinh,,Percent,10.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Tinh,,Percent,8.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Tinh,,Percent,7.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Binh,,Percent,13.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Binh,,Percent,12.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Binh,,Percent,10.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Binh,,Percent,9.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Tri,,Percent,16.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Tri,,Percent,14.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Tri,,Percent,12.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Tri,,Percent,10.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thua Thien-Hue,,Percent,7.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thua Thien-Hue,,Percent,6.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thua Thien-Hue,,Percent,4.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Thua Thien-Hue,,Percent,4.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Da Nang,,Percent,1.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Da Nang,,Percent,1.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Da Nang,,Percent,0.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Da Nang,,Percent,0.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Nam,,Percent,13.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Nam,,Percent,12.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Nam,,Percent,10.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Nam,,Percent,9.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Ngai,,Percent,13.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Ngai,,Percent,12.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Ngai,,Percent,10.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang  Ngai,,Percent,8.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Dinh,,Percent,8.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Dinh,,Percent,6.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Dinh,,Percent,5.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Dinh,,Percent,4.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Yen,,Percent,9.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Yen,,Percent,8.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Yen,,Percent,7.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Phu Yen,,Percent,6.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Khanh  Hoa,,Percent,5.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Khanh  Hoa,,Percent,5.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Khanh  Hoa,,Percent,3.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Khanh  Hoa,,Percent,3.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh  Thuan,,Percent,13.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh  Thuan,,Percent,12.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh  Thuan,,Percent,11.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ninh  Thuan,,Percent,9.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Thuan,,Percent,4.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Thuan,,Percent,3.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Thuan,,Percent,2.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Thuan,,Percent,2.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kon Tum,,Percent,34.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kon Tum,,Percent,31.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kon Tum,,Percent,27.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Kon Tum,,Percent,24.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Gia Lai,,Percent,30.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Gia Lai,,Percent,27.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Gia Lai,,Percent,23.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Gia Lai,,Percent,20.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Lak,,Percent,15.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Lak,,Percent,13.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Lak,,Percent,10.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Lak,,Percent,9.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Nong,,Percent,17.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Nong,,Percent,14.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Nong,,Percent,12.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Dak Nong,,Percent,10.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lam Dong,,Percent,8.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lam Dong,,Percent,6.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lam Dong,,Percent,5.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Lam Dong,,Percent,4.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Phuoc,,Percent,6.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Phuoc,,Percent,6.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Phuoc,,Percent,4.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh Phuoc,,Percent,3.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tay Ninh,,Percent,2.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tay Ninh,,Percent,2.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tay Ninh,,Percent,1.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Tay Ninh,,Percent,1.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh  Duong,,Percent,1.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh  Duong,,Percent,0.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh  Duong,,Percent,0.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Binh  Duong,,Percent,0.6
