Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.9
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.7
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.3
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.2
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",12.0
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",9.2
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.5
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.9
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.9
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.7
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.6
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.4
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.3
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Urban,"Per 1,000 live births",8.2
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",18.2
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",18.1
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",18.3
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",18.3
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",17.8
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",17.6
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",17.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",17.3
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",17.1
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,Rural,"Per 1,000 live births",16.7
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",12.3
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",12.5
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",12.3
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",12.2
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.8
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.7
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.3
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.2
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Red River Delta,,under 1 year old,,"Per 1,000 live births",11.0
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",24.3
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",23.0
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",23.5
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",23.2
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",22.4
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",22.0
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",21.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",21.4
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",21.4
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern midlands and mountain areas,,under 1 year old,,"Per 1,000 live births",20.8
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",17.1
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",17.1
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",17.1
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",17.0
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",16.6
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",16.3
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",16.0
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",15.9
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",15.8
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Northern Central area and Central coastal area,,under 1 year old,,"Per 1,000 live births",15.4
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",26.8
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",24.3
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",26.4
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",26.1
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",25.9
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",24.8
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",24.0
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",23.7
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",23.6
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Central Highlands,,under 1 year old,,"Per 1,000 live births",23.4
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",9.6
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",9.3
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",9.2
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",9.1
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.8
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.6
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.4
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.2
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],South East,,under 1 year old,,"Per 1,000 live births",8.1
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",12.6
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",12.2
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",12.0
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",12.0
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",11.6
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",11.4
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",11.2
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",11.0
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",10.9
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Mekong River Delta,,under 1 year old,,"Per 1,000 live births",10.7
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.4
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.8
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.5
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.5
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.2
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.2
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",10.0
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",9.8
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",9.8
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Noi,,under 1 year old,,"Per 1,000 live births",9.6
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.6
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",13.1
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",13.7
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",13.6
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",13.1
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.9
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.7
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.5
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.4
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Vinh Phuc,,under 1 year old,,"Per 1,000 live births",12.2
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.9
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",13.4
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",13.7
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",13.5
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",13.1
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.8
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.6
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.4
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.3
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Bac Ninh,,under 1 year old,,"Per 1,000 live births",12.2
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",15.8
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",16.4
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",16.0
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",15.9
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",15.3
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",15.1
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",14.8
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",14.6
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",14.5
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Quang Ninh,,under 1 year old,,"Per 1,000 live births",14.3
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",12.2
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",12.7
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",12.3
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",12.3
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.9
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.7
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.3
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.3
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Duong,,under 1 year old,,"Per 1,000 live births",11.1
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",11.5
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",12.3
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",12.7
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",12.6
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",12.2
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",12.0
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",11.8
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",11.6
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",11.5
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hai Phong,,under 1 year old,,"Per 1,000 live births",11.4
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",12.9
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",13.4
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",13.0
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",12.9
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",12.4
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",12.2
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",12.0
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",11.8
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",11.8
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Hung Yen,,under 1 year old,,"Per 1,000 live births",11.6
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",11.5
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",12.2
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",11.0
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",10.8
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",10.4
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",10.3
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",10.1
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",9.9
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",9.9
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Thai Binh,,under 1 year old,,"Per 1,000 live births",9.7
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",15.7
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",15.0
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",12.6
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",12.6
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",12.2
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",12.0
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",11.8
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",11.6
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Ha Nam,,under 1 year old,,"Per 1,000 live births",11.6
