Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,22.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,23.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,18
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,15.9
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,15.9
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,6.2
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.7
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.7
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,27.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,26.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,23.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Red River Delta,,under 5 years old,,Percent,21.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Red River Delta,,under 5 years old,,Percent,19.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Northern midlands and mountain areas,,under 5 years old,,Percent,30
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Northern midlands and mountain areas,,under 5 years old,,Percent,28
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Northern Central area and Central coastal area,,under 5 years old,,Percent,27.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Northern Central area and Central coastal area,,under 5 years old,,Percent,22.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Central Highlands,,under 5 years old,,Percent,33.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Central Highlands,,under 5 years old,,Percent,31.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],South East,,under 5 years old,,Percent,18.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],South East,,under 5 years old,,Percent,17
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Mekong River Delta,,under 5 years old,,Percent,23.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Mekong River Delta,,under 5 years old,,Percent,19.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Noi,,under 5 years old,,Percent,14.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Noi,,under 5 years old,,Percent,12.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Vinh Phuc,,under 5 years old,,Percent,23.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Vinh Phuc,,under 5 years old,,Percent,19.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Ninh,,under 5 years old,,Percent,25.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Ninh,,under 5 years old,,Percent,21.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Ninh,,under 5 years old,,Percent,24
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Ninh,,under 5 years old,,Percent,23.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hai Duong,,under 5 years old,,Percent,19.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hai Duong,,under 5 years old,,Percent,16.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hai Phong,,under 5 years old,,Percent,18.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hai Phong,,under 5 years old,,Percent,16.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hung Yen,,under 5 years old,,Percent,23.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hung Yen,,under 5 years old,,Percent,19.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thai Binh,,under 5 years old,,Percent,23.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thai Binh,,under 5 years old,,Percent,20.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Nam,,under 5 years old,,Percent,22.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Nam,,under 5 years old,,Percent,18.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Nam Dinh,,under 5 years old,,Percent,16.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ninh Binh,,under 5 years old,,Percent,23.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ninh Binh,,under 5 years old,,Percent,20.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Giang,,under 5 years old,,Percent,34.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Giang,,under 5 years old,,Percent,32.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Cao Bang,,under 5 years old,,Percent,31.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Cao Bang,,under 5 years old,,Percent,27.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Kan,,under 5 years old,,Percent,28.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Kan,,under 5 years old,,Percent,25.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tuyen Quang,,under 5 years old,,Percent,25.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tuyen Quang,,under 5 years old,,Percent,21.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lao Cai,,under 5 years old,,Percent,34.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lao Cai,,under 5 years old,,Percent,30.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Yen Bai,,under 5 years old,,Percent,28
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Yen Bai,,under 5 years old,,Percent,23.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thai  Nguyen,,under 5 years old,,Percent,22.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thai  Nguyen,,under 5 years old,,Percent,19.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lang Son,,under 5 years old,,Percent,25.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lang Son,,under 5 years old,,Percent,22.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Giang,,under 5 years old,,Percent,26.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Giang,,under 5 years old,,Percent,22.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Phu Tho,,under 5 years old,,Percent,25.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Phu Tho,,under 5 years old,,Percent,22.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dien Bien,,under 5 years old,,Percent,30.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dien Bien,,under 5 years old,,Percent,29.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lai Chau,,under 5 years old,,Percent,35.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lai Chau,,under 5 years old,,Percent,34.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Son La,,under 5 years old,,Percent,33.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Son La,,under 5 years old,,Percent,32
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hoa Binh,,under 5 years old,,Percent,24.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hoa Binh,,under 5 years old,,Percent,21
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thanh Hoa,,under 5 years old,,Percent,28
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thanh Hoa,,under 5 years old,,Percent,24
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Nghe An,,under 5 years old,,Percent,27.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Nghe An,,under 5 years old,,Percent,24.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Tinh,,under 5 years old,,Percent,28.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ha Tinh,,under 5 years old,,Percent,25.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Binh,,under 5 years old,,Percent,29.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Binh,,under 5 years old,,Percent,28.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Tri,,under 5 years old,,Percent,27
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang Tri,,under 5 years old,,Percent,23.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thua Thien-Hue,,under 5 years old,,Percent,24.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Thua Thien-Hue,,under 5 years old,,Percent,20.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Da Nang,,under 5 years old,,Percent,13.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Da Nang,,under 5 years old,,Percent,9.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang  Nam,,under 5 years old,,Percent,26.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang  Nam,,under 5 years old,,Percent,22.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang  Ngai,,under 5 years old,,Percent,23.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Quang  Ngai,,under 5 years old,,Percent,20.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Dinh,,under 5 years old,,Percent,23.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Dinh,,under 5 years old,,Percent,19.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Phu Yen,,under 5 years old,,Percent,27.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Phu Yen,,under 5 years old,,Percent,26
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Khanh  Hoa,,under 5 years old,,Percent,21.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Khanh  Hoa,,under 5 years old,,Percent,18.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ninh  Thuan,,under 5 years old,,Percent,26.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ninh  Thuan,,under 5 years old,,Percent,22.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Thuan,,under 5 years old,,Percent,27.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Thuan,,under 5 years old,,Percent,23.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Kon Tum,,under 5 years old,,Percent,37.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Kon Tum,,under 5 years old,,Percent,34.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Gia Lai,,under 5 years old,,Percent,34.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Gia Lai,,under 5 years old,,Percent,30.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dak Lak,,under 5 years old,,Percent,21.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dak Lak,,under 5 years old,,Percent,28
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dak Nong,,under 5 years old,,Percent,32.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dak Nong,,under 5 years old,,Percent,28.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lam Dong,,under 5 years old,,Percent,22.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Lam Dong,,under 5 years old,,Percent,18.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Phuoc,,under 5 years old,,Percent,27.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh Phuoc,,under 5 years old,,Percent,25.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tay Ninh,,under 5 years old,,Percent,22.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tay Ninh,,under 5 years old,,Percent,18.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh  Duong,,under 5 years old,,Percent,21
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Binh  Duong,,under 5 years old,,Percent,17
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dong Nai,,under 5 years old,,Percent,23.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dong Nai,,under 5 years old,,Percent,20.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ba Ria - Vung Tau,,under 5 years old,,Percent,18.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ba Ria - Vung Tau,,under 5 years old,,Percent,15
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ho Chi Minh city,,under 5 years old,,Percent,6.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ho Chi Minh city,,under 5 years old,,Percent,4.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Long An,,under 5 years old,,Percent,18.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Long An,,under 5 years old,,Percent,15.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tien Giang,,under 5 years old,,Percent,24
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tien Giang,,under 5 years old,,Percent,20
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ben Tre,,under 5 years old,,Percent,21.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ben Tre,,under 5 years old,,Percent,17.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tra Vinh,,under 5 years old,,Percent,22.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Tra Vinh,,under 5 years old,,Percent,19.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Vinh Long,,under 5 years old,,Percent,22.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Vinh Long,,under 5 years old,,Percent,18.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dong Thap,,under 5 years old,,Percent,24.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Dong Thap,,under 5 years old,,Percent,21.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],An Giang,,under 5 years old,,Percent,23
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],An Giang,,under 5 years old,,Percent,19.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Kien  Giang,,under 5 years old,,Percent,21.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Kien  Giang,,under 5 years old,,Percent,17.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Can Tho,,under 5 years old,,Percent,20.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Can Tho,,under 5 years old,,Percent,17
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hau Giang,,under 5 years old,,Percent,25.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Hau Giang,,under 5 years old,,Percent,21.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Soc Trang,,under 5 years old,,Percent,24.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Soc Trang,,under 5 years old,,Percent,21.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Lieu,,under 5 years old,,Percent,24.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Bac Lieu,,under 5 years old,,Percent,20.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ca Mau,,under 5 years old,,Percent,23.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Ca Mau,,under 5 years old,,Percent,19.2
