Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,6.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,5.6
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,6.2
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,6.2
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,5.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,5.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,5.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,5.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Female,under 5 years old,,Percent,4.6
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,5.7
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,5.7
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,5.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,5.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,5.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,4.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Urban,Percent,4.5
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,8.5
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,8.5
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,8.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,8.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,8.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,6.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,Rural,Percent,7.2
