Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,22.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,23.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,18
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,15.9
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,15.9
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,10.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Urban,Percent,6.2
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.7
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.7
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28.1
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,28
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,27.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,26.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,Rural,Percent,23.7
